mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_n_estimators,param_oob_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.293814992904663,0.026878508597886614,0.0808800220489502,0.008833786247963174,None,5,sqrt,50,False,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': False}",0.02952029520295203,0.02371687974800815,0.01754713459025574,0.00338855421686747,0.029129793510324485,0.020660531453681574,0.009670362103576325,237,0.03108999492596522,0.0277713492247165,0.01503338157710444,0.005076857989000141,0.03271135683022345,0.02233658810940195,0.010630425153960926
2.992978096008301,0.245460297362476,0.08865485191345215,0.010302356821607057,None,5,sqrt,50,True,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50, 'oob_score': True}",0.02952029520295203,0.02371687974800815,0.01754713459025574,0.00338855421686747,0.029129793510324485,0.020660531453681574,0.009670362103576325,237,0.03108999492596522,0.0277713492247165,0.01503338157710444,0.005076857989000141,0.03271135683022345,0.02233658810940195,0.010630425153960926
4.907047462463379,0.08761281092886064,0.1626420497894287,0.01109286676054651,None,5,sqrt,100,False,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': False}",0.029514849658734552,0.029465930018416207,0.018653236336504384,0.017543859649122806,0.027336534909493906,0.024502882114454373,0.005299577355322795,229,0.031182250103787074,0.03530547510688181,0.017794754739833232,0.015681149950996405,0.03108999492596522,0.02621072496549275,0.007911236597489055
5.759121370315552,0.16491200062205674,0.15989866256713867,0.017551978765747343,None,5,sqrt,100,True,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'oob_score': True}",0.029514849658734552,0.029465930018416207,0.018653236336504384,0.017543859649122806,0.027336534909493906,0.024502882114454373,0.005299577355322795,229,0.031182250103787074,0.03530547510688181,0.017794754739833232,0.015681149950996405,0.03108999492596522,0.02621072496549275,0.007911236597489055
7.147450065612793,0.42618498856436826,0.3458906650543213,0.15722807305071393,None,5,sqrt,150,False,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 150, 'oob_score': False}",0.029135165037801954,0.031244256570483367,0.02232973576479345,0.022689231913706528,0.027007029226785054,0.02648108370271407,0.003510567244400348,225,0.03299235093539766,0.03993222512249851,0.020091154311226864,0.020561008512815743,0.029380514620963645,0.028591450700580483,0.007554425850770983
11.048164653778077,0.4727329166668125,0.33115239143371583,0.03870721415407864,None,5,sqrt,150,True,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 150, 'oob_score': True}",0.029135165037801954,0.031244256570483367,0.02232973576479345,0.022689231913706528,0.027007029226785054,0.02648108370271407,0.003510567244400348,225,0.03299235093539766,0.03993222512249851,0.020091154311226864,0.020561008512815743,0.029380514620963645,0.028591450700580483,0.007554425850770983
11.963458585739136,0.47701586377521216,0.4223304271697998,0.09575958366718444,None,5,sqrt,200,False,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': False}",0.02589715131335553,0.028750460744563215,0.017913789886172794,0.015698000373761914,0.020089285714285716,0.021669737606427833,0.004904575085471095,233,0.02803089874647301,0.0359375,0.015307789237877444,0.014109512240702672,0.021387390738329924,0.022954618192676607,0.008166883598326081
14.2280442237854,0.16625051905857238,0.41277279853820803,0.04930341097551703,None,5,sqrt,200,True,"{'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'oob_score': True}",0.02589715131335553,0.028750460744563215,0.017913789886172794,0.015698000373761914,0.020089285714285716,0.021669737606427833,0.004904575085471095,233,0.02803089874647301,0.0359375,0.015307789237877444,0.014109512240702672,0.021387390738329924,0.022954618192676607,0.008166883598326081
2.8678118705749513,0.29112656660711866,0.09682660102844239,0.01012637871441587,None,5,log2,50,False,"{'class_weight': None, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50, 'oob_score': False}",0.02952029520295203,0.02371687974800815,0.01754713459025574,0.00338855421686747,0.029129793510324485,0.020660531453681574,0.009670362103576325,237,0.03108999492596522,0.0277713492247165,0.01503338157710444,0.005076857989000141,0.03271135683022345,0.02233658810940195,0.010630425153960926
3.517919969558716,0.1933431859704841,0.08786520957946778,0.02093145334846109,None,5,log2,50,True,"{'class_weight': None, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50, 'oob_score': True}",0.02952029520295203,0.02371687974800815,0.01754713459025574,0.00338855421686747,0.029129793510324485,0.020660531453681574,0.009670362103576325,237,0.03108999492596522,0.0277713492247165,0.01503338157710444,0.005076857989000141,0.03271135683022345,0.02233658810940195,0.010630425153960926
4.95654935836792,0.1683536882523016,0.15125293731689454,0.018194519847291823,None,5,log2,100,False,"{'class_weight': None, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'oob_score': False}",0.029514849658734552,0.029465930018416207,0.018653236336504384,0.017543859649122806,0.027336534909493906,0.024502882114454373,0.005299577355322795,229,0.031182250103787074,0.03530547510688181,0.017794754739833232,0.015681149950996405,0.03108999492596522,0.02621072496549275,0.007911236597489055
